text,label
Jalan rusak parah di depan sekolah sudah lama tidak diperbaiki,negatif
Lampu jalan mati sudah seminggu sangat berbahaya sekali,negatif
Sampah menumpuk tidak diangkut berhari-hari baunya menyengat,negatif
Air PDAM keruh tidak layak diminum sangat mengecewakan warga,negatif
Pelayanan kantor sangat lambat dan tidak memuaskan sama sekali,negatif
Taman kota kotor jorok dan tidak terawat sama sekali,negatif
Drainase tersumbat banjir setiap kali hujan turun sangat parah,negatif
Fasilitas kesehatan rusak dibiarkan tidak diperbaiki pemerintah,negatif
Trotoar berlubang parah membahayakan pejalan kaki setiap hari,negatif
Pelayanan buruk petugas tidak ramah sangat mengecewakan sekali,negatif
Saluran air mampet menimbulkan bau busuk tidak tertahankan,negatif
Jembatan retak berbahaya dibiarkan tanpa perbaikan apapun,negatif
Halte bus rusak bocor tidak ada perbaikan sama sekali,negatif
Kabel listrik menjuntai rendah sangat membahayakan warga,negatif
Kebakaran besar terjadi dan tidak ada bantuan yang datang,negatif
Banjir parah merusak rumah warga sangat memprihatinkan sekali,negatif
Tanah longsor membahayakan warga situasi sangat mengkhawatirkan,negatif
Kecelakaan parah tidak ada penanganan cepat sangat disayangkan,negatif
Warga keracunan kondisi darurat tidak ada pertolongan datang,negatif
Pohon tumbang menimpa rumah kondisi berbahaya memprihatinkan,negatif
Warga sudah capek melaporkan tapi tidak ada respons sama sekali,negatif
Sudah lelah berkali-kali lapor tapi masalah tidak kunjung beres,negatif
Kondisi ini sangat memprihatinkan dan tidak ada yang peduli,negatif
Situasi sudah tidak kondusif sangat mengkhawatirkan warga,negatif
Sangat disayangkan pemerintah tidak tanggap terhadap keluhan,negatif
Kondisi jalan semakin parah makin buruk setiap harinya,negatif
Pelayanan semakin buruk tidak ada perbaikan sama sekali,negatif
Lingkungan semakin kotor tidak terawat tidak layak huni,negatif
Kondisi pasar sangat memprihatinkan kotor dan tidak layak,negatif
Tidak ada tindakan apapun dari pemerintah sangat mengecewakan,negatif
Fasilitas tidak layak dan sangat membahayakan keselamatan warga,negatif
Air tidak mengalir sudah tiga hari warga sangat kesulitan,negatif
Pelayanan tidak profesional dan sangat tidak memuaskan sekali,negatif
Lampu tidak menyala gelap berbahaya sudah berminggu-minggu,negatif
Masalah ini makin parah tidak ada yang bertanggung jawab,negatif
Terima kasih jalan sudah diperbaiki dengan cepat dan baik,positif
Pelayanan sangat baik cepat dan memuaskan sekali bagi warga,positif
Petugas ramah dan sangat membantu warga dengan sepenuh hati,positif
Terima kasih taman kota sudah bersih dan terawat sangat indah,positif
Senang lampu jalan sudah dipasang wilayah jadi terang sekali,positif
Pelayanan administrasi sangat memuaskan dan sangat efisien,positif
Bagus sekali kinerja petugas kebersihan taman kota kita,positif
Apresiasi kepada petugas yang responsif dan sangat profesional,positif
Luar biasa program pemerintah sangat membantu warga yang butuh,positif
Puskesmas pelayanannya meningkat pesat terima kasih banyak,positif
Petugas pemadam sangat cepat dan profesional hebat sekali,positif
Bangga dengan tim yang bekerja keras melayani masyarakat,positif
Salut respons pemerintah yang cepat menangani keluhan warga,positif
Senang taman bermain sudah diperbaiki anak-anak bisa bermain,positif
Pelayanan di desa sangat dipermudah warga sangat puas sekali,positif
Pelayanan petugas bagus ramah warga merasa senang dan puas,positif
Sangat puas dengan pelayanan kantor yang cepat dan baik,positif
Pelayanan sangat baik didesa warga merasa sangat terbantu,positif
Warga merasa puas dengan pelayanan yang diberikan selama ini,positif
Pelayanan pemerintah daerah semakin membaik dari waktu ke waktu,positif
Kinerja para petugas patut mendapat acungan jempol dari warga,positif
Responsivitas pemerintah dalam menangani masalah sangat bagus,positif
Kondisi lingkungan semakin membaik berkat kerja keras petugas,positif
Sangat memuaskan hasil perbaikan yang dilakukan pemerintah,positif
Program kerja bakti sangat membantu warga membersihkan lingkungan,positif
Petugas sigap dan profesional dalam menjalankan tugas harian,positif
Semua petugas ramah dan sangat membantu warga dengan baik,positif
Kebijakan pemerintah kali ini tepat sasaran dan bermanfaat,positif
Fasilitas sudah diperbaiki warga sangat senang dan berterima kasih,positif
Lingkungan bersih indah berkat kerja keras petugas kebersihan,positif
Kapan jadwal pengangkutan sampah di daerah sini,netral
Informasi jam pelayanan kantor kelurahan bagaimana caranya,netral
Prosedur mengurus KTP di kantor kecamatan seperti apa,netral
Jadwal posyandu bulan ini kapan dan di mana lokasinya,netral
Cara mendaftar bantuan sosial bagaimana prosedurnya,netral
Syarat membuat surat keterangan domisili apa saja yang perlu,netral
Jadwal pemadaman listrik bergilir di wilayah ini kapan,netral
Cara melaporkan kehilangan dokumen harus ke kantor mana,netral
Prosedur perpanjangan SIM di samsat terdekat bagaimana,netral
Biaya pembuatan akta kelahiran berapa dan prosedurnya,netral
Mohon segera dipasang lampu di jalan gelap ini,netral
Minta dibuatkan taman bermain untuk anak-anak di sini,netral
Harap tambahkan armada bus rute ke perumahan kami,netral
Tolong sediakan tempat sampah lebih banyak di taman ini,netral
Harap pasang rambu lalu lintas di persimpangan ini,netral
Minta dibuatkan zebra cross di depan sekolah dasar,netral
Mohon dipasang lampu jalan baru di kawasan ini,netral
Tolong tambahkan toilet umum di area pasar tradisional,netral
Harap sediakan fasilitas difabel di kantor kelurahan,netral
Kami membutuhkan posyandu baru di kelurahan kami,netral
Tolong bangun taman bermain untuk anak di kelurahan ini,netral
Mohon tambahkan petugas keamanan di area ini malam hari,netral
Kami ingin ada perbaikan fasilitas di wilayah ini,netral
Warga berharap ada tindakan nyata dari pemerintah daerah,netral
Perlu ada penambahan fasilitas kesehatan yang layak di sini,netral
Sebaiknya ada petugas yang berpatroli setiap malam hari,netral
Alangkah baiknya pelayanan bisa dilakukan secara online,netral
Usul agar pasar ditata lebih rapi dan bersih teratur,netral
Sebaiknya pelayanan diperbaiki agar warga tidak antri lama,netral
Disarankan agar jam buka kantor diperpanjang hingga sore,netral
Sebaiknya dibuat sistem pengaduan online yang mudah diakses,netral
Usul agar dibuat jalur sepeda yang aman di jalan utama,netral
Lebih baik jika ada petugas keamanan di sini malam hari,netral
Sistem pelayanan perlu dibenahi agar lebih efisien bagi warga,netral
Pengelolaan sampah bisa ditingkatkan dengan teknologi modern,netral
Perlu ditingkatkan transparansi penggunaan anggaran daerah,netral
Bisa ditingkatkan kualitas jalan dengan material lebih baik,netral
Sebaiknya ada sanksi tegas bagi pembuang sampah sembarangan,netral
Disarankan agar lampu lalu lintas diservis secara berkala,netral
Ada baiknya peraturan parkir diperketat di area pusat kota,netral
