text,label
Jalan rusak parah sudah lama tidak diperbaiki oleh dinas,keluhan
Sampah tidak diangkut berhari-hari baunya menyengat sekali,keluhan
Lampu jalan mati sudah seminggu gelap dan berbahaya,keluhan
Air PDAM keruh tidak layak diminum warga sudah mengeluh,keluhan
Drainase mampet banjir setiap kali hujan turun deras,keluhan
Fasilitas umum rusak dibiarkan tidak ada perbaikan sama sekali,keluhan
Trotoar hancur berlubang bahaya buat pejalan kaki,keluhan
Taman kota jorok sampah berserakan tidak ada yang membersihkan,keluhan
Jembatan retak berbahaya tidak segera diperbaiki pemerintah,keluhan
Halte bus rusak atap bocor tidak ada perbaikan sama sekali,keluhan
Genangan air selalu ada di jalan ini setiap kali hujan,keluhan
Tempat sampah meluber mengotori seluruh lingkungan sekitar,keluhan
Saluran got tersumbat menimbulkan bau tidak sedap di mana-mana,keluhan
Kabel listrik menjuntai rendah sangat berbahaya bagi warga,keluhan
Fasilitas taman bermain rusak berbahaya untuk anak-anak,keluhan
Penerangan jalan di gang kampung mati total sudah lama sekali,keluhan
Papan nama jalan sudah hilang tidak ada penggantinya,keluhan
Pelayanan kantor sangat lambat antre berjam-jam tidak ada kejelasan,keluhan
Pelayanan buruk petugas tidak mau membantu warga sama sekali,keluhan
Pelayanan sangat lambat dan mengecewakan sekali tidak karuan,keluhan
Pelayanan kantor buruk sekali lama antrenya tidak masuk akal,keluhan
Petugas tidak ramah pelayanan sangat mengecewakan warga,keluhan
Pelayanan publik di sini sangat buruk harus segera diperbaiki,keluhan
Petugas tidak profesional dan tidak responsif terhadap keluhan,keluhan
Pasar kumuh kotor sekali tidak ada pengelolaan kebersihan,keluhan
Kondisi jalan di sini memang memprihatinkan sekali bagi warga,keluhan
Warga sudah lelah dengan masalah ini yang tidak kunjung beres,keluhan
Sudah capek melaporkan berkali-kali tapi tidak ada respons,keluhan
Situasi di sini sudah tidak kondusif lagi bagi semua warga,keluhan
Kondisi pasar sangat memprihatinkan dan kotor tidak layak,keluhan
Sampah semakin parah setiap hari tidak ada yang menangani,keluhan
Jalan semakin buruk makin parah tidak ada perbaikan apapun,keluhan
Tidak ada tindakan nyata dari pemerintah terhadap keluhan kami,keluhan
Sudah berkali-kali dilaporkan tapi tidak pernah diperbaiki,keluhan
Lingkungan semakin kotor dan tidak terawat sangat disayangkan,keluhan
Fasilitas sangat tidak layak dan membahayakan keselamatan warga,keluhan
Air bersih tidak mengalir sudah tiga hari warga sangat kesulitan,keluhan
Lampu tidak menyala sudah berminggu-minggu wilayah sangat gelap,keluhan
Pelayanan tidak ada harapan petugas abai terhadap warga,keluhan
Kantor pelayanan selalu tutup tidak sesuai jam operasional,keluhan
Mohon dipasang lampu jalan baru di kawasan gelap ini,permintaan
Minta dibuatkan zebra cross di depan sekolah dasar,permintaan
Harap tambahkan armada bus rute ke perumahan kami,permintaan
Tolong sediakan tempat sampah yang cukup di taman kota,permintaan
Mohon bangun posyandu baru di kelurahan kami segera,permintaan
Minta perbaikan jalan yang berlubang parah di RT kami,permintaan
Harap pasang rambu lalu lintas di persimpangan yang berbahaya,permintaan
Tolong tambahkan toilet umum yang bersih di area pasar,permintaan
Mohon sediakan bangku taman yang lebih banyak untuk warga,permintaan
Minta dibangun taman bermain yang layak untuk anak-anak,permintaan
Harap segera pasang CCTV di area parkir yang rawan maling,permintaan
Tolong buatkan jalur sepeda yang aman di jalan utama,permintaan
Mohon tambahkan petugas keamanan di area ini malam hari,permintaan
Minta diadakan angkutan umum ke daerah terpencil kami,permintaan
Harap sediakan fasilitas difabel di kantor kelurahan kami,permintaan
Mohon tambahkan loket pelayanan agar warga tidak antre lama,permintaan
Tolong tambah jam operasional pelayanan hingga sore hari,permintaan
Minta disediakan pelayanan online untuk urus administrasi,permintaan
Kami membutuhkan poliklinik tambahan di wilayah padat ini,permintaan
Warga berharap ada program vaksinasi di kelurahan kami,permintaan
Perlu ada penambahan fasilitas kesehatan yang layak di sini,permintaan
Kami ingin ada bank sampah di setiap RT wilayah kami,permintaan
Berharap ada lapangan olahraga untuk warga di sini,permintaan
Tolong pasang portal jalan untuk cegah kendaraan berat masuk,permintaan
Mohon tambahkan lampu sorot di area yang sering jadi TKP,permintaan
Minta dilakukan pengerukan saluran drainase yang sudah penuh,permintaan
Harap ada program penanaman pohon di sepanjang jalan ini,permintaan
Kami sangat membutuhkan ruang terbuka hijau di wilayah kami,permintaan
Tolong lakukan fogging nyamuk di wilayah kami yang rawan DBD,permintaan
Diharapkan ada program bersih-bersih lingkungan setiap minggu,permintaan
Sebaiknya jadwal pengangkutan sampah diumumkan lebih awal,saran
Alangkah baiknya ada taman baca di setiap kelurahan kota,saran
Saran agar loket pelayanan ditambah supaya tidak antre lama,saran
Lebih baik pelayanan online agar warga tidak perlu datang,saran
Disarankan agar petugas kebersihan berpatroli dua kali sehari,saran
Sebaiknya dibuat sistem pengaduan online yang mudah diakses,saran
Usul agar pasar ditata lebih rapi dan bersih serta teratur,saran
Sarankan agar jam operasional kantor diperpanjang sampai sore,saran
Sebaiknya ada sosialisasi program pemerintah kepada masyarakat,saran
Alangkah lebih baik bila ada ruang terbuka hijau di sini,saran
Usul agar dibuat jalur evakuasi bencana yang jelas dan mudah,saran
Saran untuk menambah pelatihan kerja bagi warga usia muda,saran
Sebaiknya parkir liar ditertibkan secara rutin dan berkala,saran
Lebih baik bila ada bank sampah di setiap RT dan kelurahan,saran
Disarankan agar lampu lalu lintas diservis secara berkala,saran
Sistem pelayanan perlu dibenahi agar jauh lebih efisien,saran
Pengelolaan sampah bisa ditingkatkan dengan teknologi modern,saran
Sistem antrian digital dapat diterapkan di kantor kelurahan,saran
Database warga bisa didigitalisasi agar pelayanan lebih cepat,saran
Aplikasi pengaduan perlu dibenahi agar lebih mudah digunakan,saran
Ada baiknya peraturan parkir diperketat di area pusat kota,saran
Sebaiknya ada sanksi tegas bagi pembuang sampah sembarangan,saran
Hendaknya dibuat regulasi ketat untuk bangunan liar di sini,saran
Kiranya perlu ada evaluasi rutin kinerja petugas pelayanan,saran
Perlu ditingkatkan transparansi penggunaan anggaran daerah,saran
Perlu dibenahi sistem drainase agar tidak banjir setiap hujan,saran
Bisa ditingkatkan kualitas jalan dengan material yang lebih baik,saran
Dapat ditingkatkan jumlah CCTV di titik rawan kejahatan,saran
Seharusnya ada jalur pejalan kaki yang nyaman di setiap jalan,saran
Lebih baik bila lampu penerangan dipasang di seluruh gang,saran
Terima kasih jalan sudah diperbaiki dengan cepat dan baik,apresiasi
Apresiasi kepada petugas yang sangat responsif dan ramah,apresiasi
Terima kasih program bantuan sosial sangat membantu warga,apresiasi
Terima kasih lampu jalan sudah dipasang wilayah jadi terang,apresiasi
Terima kasih saluran air sudah dibersihkan banjir berkurang,apresiasi
Terima kasih taman kota sudah dirapikan menjadi sangat indah,apresiasi
Terima kasih fasilitas posyandu sudah diperbaiki dan lengkap,apresiasi
Bagus sekali pelayanan kantor kelurahan sekarang jauh membaik,apresiasi
Salut dengan kinerja petugas kebersihan taman kota kita,apresiasi
Senang sekali taman kota sudah bersih dan sangat terawat,apresiasi
Petugas pemadam kebakaran sangat cepat dan profesional sekali,apresiasi
Luar biasa kecepatan respons pemerintah menangani banjir,apresiasi
Bangga dengan petugas yang bekerja keras melayani warga,apresiasi
Pelayanan kesehatan di puskesmas meningkat pesat alhamdulillah,apresiasi
Senang melihat taman bermain sudah diperbaiki anak-anak senang,apresiasi
Pelayanan di desa sangat dipermudah warga sangat terbantu,apresiasi
